From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2018-03-01 00:00:00,2018-03-01 01:00:00,111.67,276.18,308.18,110.22,461.12,39.13,20.41,3.7,1.98,0.3,3.55,,88.42,0.4,200.0,2.0,989.83,18.93,
2018-03-01 01:00:00,2018-03-01 02:00:00,123.0,303.5,204.67,94.27,37.4,29.57,10.37,3.59,4.52,2.06,2.52,,92.0,0.48,213.83,2.0,989.08,18.28,
2018-03-01 02:00:00,2018-03-01 03:00:00,117.58,292.25,232.13,76.03,397.35,18.57,10.22,2.47,2.81,0.5,4.67,,93.33,0.53,217.67,2.0,989.0,17.6,
2018-03-01 03:00:00,2018-03-01 04:00:00,111.5,261.67,166.67,73.87,302.94,37.66,16.71,2.41,2.12,0.2,4.32,,93.75,0.48,213.25,1.92,988.25,17.13,
2018-03-01 04:00:00,2018-03-01 05:00:00,110.08,260.83,161.93,62.19,285.57,39.52,13.46,2.26,2.04,0.81,3.32,,96.83,0.38,208.67,2.0,988.0,16.51,
2018-03-01 05:00:00,2018-03-01 06:00:00,107.25,254.58,150.0,59.36,247.91,40.26,14.28,1.98,1.88,0.53,3.22,,98.17,0.5,218.92,2.0,988.0,16.17,
2018-03-01 06:00:00,2018-03-01 07:00:00,110.67,269.58,157.44,57.09,256.46,46.51,15.37,1.89,2.26,0.43,2.69,,97.0,0.82,201.33,2.67,988.67,16.29,
2018-03-01 07:00:00,2018-03-01 08:00:00,123.83,307.67,147.62,64.99,268.08,60.83,20.94,1.87,1.84,0.2,2.47,,92.58,0.59,218.08,40.58,989.08,17.07,
2018-03-01 08:00:00,2018-03-01 09:00:00,154.33,405.42,88.24,91.88,208.96,70.42,38.02,1.9,3.54,0.34,1.93,,75.83,0.68,210.0,156.92,990.0,20.72,
2018-03-01 09:00:00,2018-03-01 10:00:00,197.33,540.5,33.92,107.39,146.41,67.08,45.57,1.77,16.65,0.2,1.88,,62.42,0.43,243.83,195.17,990.25,23.57,
2018-03-01 10:00:00,2018-03-01 11:00:00,179.92,493.33,16.42,88.97,94.21,46.61,30.55,1.38,48.55,0.34,1.57,,50.67,0.86,229.92,268.83,990.92,25.69,
2018-03-01 11:00:00,2018-03-01 12:00:00,151.42,390.83,4.64,55.29,57.48,41.69,29.07,1.08,89.34,0.16,1.41,,42.5,0.81,263.08,316.42,990.0,26.77,
2018-03-01 12:00:00,2018-03-01 13:00:00,115.08,293.08,3.34,53.68,54.11,37.86,28.72,0.96,109.24,0.18,1.41,,32.75,0.81,247.67,519.25,989.5,29.0,
2018-03-01 13:00:00,2018-03-01 14:00:00,90.92,231.83,2.3,49.12,48.46,30.85,23.89,0.78,105.62,0.1,1.36,,30.67,1.23,241.08,276.17,989.0,28.88,
2018-03-01 14:00:00,2018-03-01 15:00:00,69.75,176.58,2.48,38.89,39.31,32.96,21.9,0.69,95.83,0.17,1.35,,31.5,1.25,252.08,375.08,988.25,29.35,
2018-03-01 15:00:00,2018-03-01 16:00:00,68.92,171.08,2.08,33.17,33.46,32.28,19.68,0.57,87.68,0.11,1.08,,29.25,0.97,256.33,285.42,987.5,29.78,
2018-03-01 16:00:00,2018-03-01 17:00:00,56.17,147.17,7.5,54.48,46.12,25.9,12.63,0.6,50.05,0.4,0.88,,31.58,0.83,247.33,103.83,987.0,28.51,
2018-03-01 17:00:00,2018-03-01 18:00:00,56.83,148.67,8.03,60.01,59.18,28.89,18.94,0.7,36.92,0.2,1.21,,34.92,0.69,243.42,52.42,987.0,27.26,
2018-03-01 18:00:00,2018-03-01 19:00:00,57.0,154.5,38.34,94.91,141.32,23.28,19.39,1.3,7.4,0.1,1.48,,37.58,0.47,213.18,6.58,987.0,24.78,
2018-03-01 19:00:00,2018-03-01 20:00:00,57.0,172.42,154.87,96.82,307.5,25.0,19.14,2.42,1.74,0.14,1.97,,49.42,0.41,182.58,1.92,987.0,21.85,
2018-03-01 20:00:00,2018-03-01 21:00:00,57.92,199.67,346.87,112.67,,27.12,20.16,4.03,1.96,0.47,2.57,,59.92,0.39,76.17,2.0,988.0,20.82,
2018-03-01 21:00:00,2018-03-01 22:00:00,83.45,265.25,264.68,125.64,377.87,36.85,21.93,3.76,1.86,0.56,3.45,,67.08,0.36,93.0,1.92,987.92,20.67,
2018-03-01 22:00:00,2018-03-01 23:00:00,100.67,265.5,180.98,95.33,342.92,40.16,15.59,3.01,1.41,1.08,2.19,,76.33,0.35,164.67,2.0,988.0,19.88,
2018-03-01 23:00:00,2018-03-02 00:00:00,102.92,253.08,302.81,96.75,390.2,42.68,21.85,4.46,2.24,0.22,2.14,,84.08,0.46,181.75,2.0,987.92,19.1,
2018-03-02 00:00:00,2018-03-02 01:00:00,136.0,323.82,459.92,111.76,,43.65,20.58,5.66,2.04,0.48,2.12,,90.08,0.53,230.83,2.0,988.0,18.33,
2018-03-02 01:00:00,2018-03-02 02:00:00,176.58,405.25,206.24,92.32,193.5,35.45,11.18,4.92,2.78,1.47,1.71,,88.5,0.53,199.67,2.0,987.33,18.52,
2018-03-02 02:00:00,2018-03-02 03:00:00,165.33,369.83,241.73,91.13,407.54,23.84,10.62,3.75,1.97,0.55,2.5,,89.42,0.53,204.92,2.0,987.0,18.38,
2018-03-02 03:00:00,2018-03-02 04:00:00,163.08,357.75,233.68,95.73,417.67,49.62,20.17,3.99,1.83,0.3,2.22,,91.75,0.64,212.42,2.0,987.0,17.91,
2018-03-02 04:00:00,2018-03-02 05:00:00,163.0,353.33,208.45,84.18,371.22,48.74,15.8,3.67,1.85,0.58,1.8,,93.75,0.78,205.33,2.0,987.0,17.43,
2018-03-02 05:00:00,2018-03-02 06:00:00,157.5,324.58,215.62,82.57,380.08,46.76,19.0,3.33,1.6,0.3,1.98,,92.0,0.58,218.33,2.0,987.0,17.05,
2018-03-02 06:00:00,2018-03-02 07:00:00,142.33,289.92,210.33,144.54,283.17,39.65,13.58,3.2,1.47,0.73,1.66,,93.17,0.28,172.92,2.83,987.0,16.6,
2018-03-02 07:00:00,2018-03-02 08:00:00,129.08,283.33,253.71,74.12,426.03,48.17,18.25,3.62,1.6,0.3,2.13,,90.67,0.33,184.67,35.67,987.33,17.28,
2018-03-02 08:00:00,2018-03-02 09:00:00,138.08,317.83,170.86,123.59,355.51,54.6,22.86,3.27,2.77,0.3,2.27,,68.92,0.32,165.83,174.0,988.17,21.97,
2018-03-02 09:00:00,2018-03-02 10:00:00,146.33,332.0,21.06,91.11,113.44,51.31,29.77,1.58,32.33,0.26,2.02,,50.0,0.55,225.42,232.92,989.0,25.29,
2018-03-02 10:00:00,2018-03-02 11:00:00,130.5,300.92,6.23,38.38,42.09,39.89,23.01,0.87,74.42,0.27,1.34,,44.33,1.08,235.67,260.83,989.0,27.15,
2018-03-02 11:00:00,2018-03-02 12:00:00,109.75,260.42,1.15,26.41,25.88,53.19,25.72,1.16,105.38,0.33,0.82,,47.33,1.54,282.42,351.08,989.0,27.22,
2018-03-02 12:00:00,2018-03-02 13:00:00,133.67,356.0,1.27,22.67,33.53,47.4,20.18,0.87,112.85,0.46,0.62,,41.0,1.28,293.33,576.58,988.33,28.54,
2018-03-02 13:00:00,2018-03-02 14:00:00,104.83,227.5,1.03,,36.47,25.74,0.19,0.39,105.52,0.66,0.3,,31.42,1.02,277.67,605.08,987.17,30.49,
2018-03-02 14:00:00,2018-03-02 15:00:00,55.25,130.67,1.07,,35.74,22.49,0.1,0.3,98.07,0.6,0.3,,29.58,1.12,256.5,411.58,986.0,31.58,
2018-03-02 15:00:00,2018-03-02 16:00:00,48.25,116.58,0.84,,34.91,17.87,0.1,0.21,90.88,0.6,0.3,,27.75,1.4,249.58,310.08,985.08,31.49,
2018-03-02 16:00:00,2018-03-02 17:00:00,46.17,116.0,1.2,26.8,29.91,15.0,0.45,0.2,77.58,0.57,0.3,,29.25,1.52,242.08,115.0,985.0,30.6,
2018-03-02 17:00:00,2018-03-02 18:00:00,50.58,131.58,0.74,20.67,26.59,24.54,18.62,0.42,78.35,0.3,0.45,,32.17,1.38,253.5,40.42,985.0,29.4,
2018-03-02 18:00:00,2018-03-02 19:00:00,47.33,129.33,0.8,58.17,54.55,29.72,20.52,0.73,38.84,0.0,0.6,,41.42,0.69,216.92,5.75,985.08,26.81,
2018-03-02 19:00:00,2018-03-02 20:00:00,75.42,223.42,49.25,104.07,165.3,29.46,20.57,1.44,2.76,0.15,0.72,,54.83,0.48,209.5,2.0,986.0,23.67,
2018-03-02 20:00:00,2018-03-02 21:00:00,70.67,224.67,95.92,104.44,231.01,33.64,23.34,1.91,1.7,0.1,0.94,,63.83,0.55,187.67,2.0,986.0,22.26,
2018-03-02 21:00:00,2018-03-02 22:00:00,89.25,248.75,96.46,100.91,209.32,31.78,19.22,2.1,1.42,0.18,1.02,,71.5,0.35,231.5,1.83,986.92,21.07,
2018-03-02 22:00:00,2018-03-02 23:00:00,83.67,223.5,230.27,109.79,418.89,38.32,18.06,3.33,1.57,0.36,1.09,,77.92,0.36,221.92,2.0,987.0,20.26,
2018-03-02 23:00:00,2018-03-03 00:00:00,116.0,342.0,281.79,107.28,475.08,39.29,19.4,3.81,1.56,0.2,1.7,,83.92,0.53,194.92,2.0,986.58,19.59,
2018-03-03 00:00:00,2018-03-03 01:00:00,117.17,308.45,224.07,91.63,400.18,41.8,17.17,3.13,1.73,0.2,1.89,,87.08,0.61,194.25,2.0,986.0,19.04,
2018-03-03 01:00:00,2018-03-03 02:00:00,117.0,288.42,103.72,208.74,114.66,24.73,5.35,2.64,76.52,1.27,1.06,,87.17,0.43,171.58,2.0,986.0,18.91,
2018-03-03 02:00:00,2018-03-03 03:00:00,112.42,272.33,85.13,93.37,151.07,17.61,5.73,1.87,1.88,0.57,1.58,,87.67,0.34,209.0,2.0,985.67,18.72,
2018-03-03 03:00:00,2018-03-03 04:00:00,91.83,211.42,39.99,72.39,109.17,35.11,12.41,1.38,1.93,0.33,1.59,,83.5,0.56,176.83,2.0,985.0,18.92,
2018-03-03 04:00:00,2018-03-03 05:00:00,74.42,162.0,26.46,58.24,90.95,35.99,11.26,1.18,1.77,0.37,1.22,,83.83,0.8,198.5,2.0,985.0,18.87,
2018-03-03 05:00:00,2018-03-03 06:00:00,64.75,157.08,29.8,55.77,93.38,42.12,15.34,1.11,1.74,0.2,1.2,,86.42,0.92,205.17,2.0,985.0,18.42,
2018-03-03 06:00:00,2018-03-03 07:00:00,76.83,192.75,65.84,53.1,141.71,52.96,17.6,1.38,1.48,0.16,1.18,,92.58,0.73,215.92,2.92,985.83,17.51,
2018-03-03 07:00:00,2018-03-03 08:00:00,97.25,264.75,83.78,57.52,171.12,61.37,22.5,1.44,2.03,0.1,1.03,,90.42,0.63,219.08,38.92,986.0,17.95,
2018-03-03 08:00:00,2018-03-03 09:00:00,129.25,368.17,24.87,58.27,88.67,65.26,36.85,1.27,6.63,0.1,0.82,,72.08,0.7,211.33,167.5,986.5,21.67,
2018-03-03 09:00:00,2018-03-03 10:00:00,135.67,400.83,17.78,72.42,87.22,58.17,48.68,1.25,19.57,0.16,0.76,,54.83,0.79,195.83,216.17,987.0,25.42,
2018-03-03 10:00:00,2018-03-03 11:00:00,128.67,364.5,14.81,67.63,73.83,44.36,49.89,1.0,34.33,0.18,0.76,,45.92,0.7,198.5,221.92,987.0,27.35,
2018-03-03 11:00:00,2018-03-03 12:00:00,123.42,313.33,8.89,46.21,49.18,38.27,44.12,0.71,58.5,0.15,0.7,,34.58,0.74,226.58,342.0,986.33,29.58,
2018-03-03 12:00:00,2018-03-03 13:00:00,80.83,209.08,3.45,33.91,36.08,29.44,31.93,0.52,75.77,0.1,0.63,,26.42,1.03,210.58,458.33,985.83,30.92,
2018-03-03 13:00:00,2018-03-03 14:00:00,92.58,272.42,2.47,22.39,25.68,21.63,17.7,0.4,86.29,0.28,0.43,,22.75,1.55,194.83,577.17,984.67,32.51,
2018-03-03 14:00:00,2018-03-03 15:00:00,51.83,152.5,1.29,20.52,25.27,20.03,16.7,0.4,100.92,0.37,0.38,,22.83,1.2,197.83,382.33,983.58,32.81,
2018-03-03 15:00:00,2018-03-03 16:00:00,46.17,146.5,1.89,24.13,24.85,26.73,16.82,0.36,83.51,0.0,0.53,,23.42,1.27,214.58,269.42,983.0,32.31,
2018-03-03 16:00:00,2018-03-03 17:00:00,49.67,138.75,3.88,30.53,29.98,27.73,15.01,0.37,71.3,0.08,0.55,,25.08,1.03,249.75,121.42,982.92,31.54,
2018-03-03 17:00:00,2018-03-03 18:00:00,56.42,161.83,1.45,33.18,32.52,28.91,19.08,0.58,61.18,0.0,0.74,,39.25,1.13,339.67,35.08,983.0,29.18,
2018-03-03 18:00:00,2018-03-03 19:00:00,62.5,208.92,2.74,60.62,59.66,30.04,19.09,1.0,21.88,0.27,0.72,,52.42,1.31,136.18,9.83,983.0,27.04,
2018-03-03 19:00:00,2018-03-03 20:00:00,84.08,253.33,12.22,77.73,88.71,29.62,31.09,1.16,11.06,0.1,0.86,,50.33,1.04,240.73,1.92,983.42,25.74,
